checklist_group,checklist_group_title,control_id,source/status,objective,inputs,owner,evidence,acceptance criterion,gate,closure authority,links,residuals
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",SC-01,AMLAS-P1 + Q80 Annex D + E40 requirements; synthesized. Status: M all.,"Define the AI/ML boundary, ODD, decision authority, interfaces, compensating provisions, and criticality rationale.",Contractual baseline; system architecture; preliminary hazard analysis; ODD; interface and authority concept; compensating provisions.,System Safety with Product Assurance (PA).,SCAR/criticality record; approved ODD and boundary/interface description; assumptions; assurance plan.,"The classification, AI failure propagation, authority boundary, interfaces, and compensating provisions are justified and mutually consistent.",SRR.,Project/customer SRR authority.,Hazards; system/software requirements; architecture; SA-01; FR-01.,"Open assumptions, unresolved interfaces, and criticality dependencies are recorded with owners and due gates."
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",FR-01,E40 5.2.5 and 5.3.4.1; AI evidence inputs adapted. Status: M.,Review requirements and the AI assurance scope at SRR.,SC-01 baseline; preliminary ML safety requirements; data and V&V strategy; assurance plan; open actions.,"Systems Engineering and PA, supported by Safety, ML, and V&V leads.","SRR data pack and minutes identifying the baselined AI role, scope, requirements, strategies, and actions.",The SRR entry/exit criteria in the tailored review plan are met and every open action has an owner and due gate.,SRR.,Designated SRR authority.,SC-01; SA-01; DM-01; MV-01; IV-01.,Unclosed SRR actions and assumptions remain explicit and cannot be treated as accepted evidence.
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",FR-02,E40 5.3.4.2 + AMLAS-P2/P3; synthesized. Status: M when PDR is in the review plan.,"Review the data strategy, architecture, model-class rationale, fallback concept, and verification plan.",Approved SRR baseline; data requirements; coverage model; architecture; model candidates; target constraints; fallback concept.,"Systems Engineering with Data/ML, Software, Safety, and V&V owners.","PDR data pack, decisions, action log, and updated assurance plan.",The proposed architecture and data/verification plans address allocated requirements and hazards with identified residual uncertainties.,PDR.,Designated PDR authority.,DM-01 to DM-09; ML-01 to ML-04; DP-07; SA-01.,"Architecture trades, data gaps, and fallback limitations are carried into CDR/TRR planning."
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",FR-03,E40 5.3.4.3 + AMLAS-P4 + HB40 6.4.2; synthesized. Status: M when CDR is in the review plan.,Review the detailed model/software design and freeze the development baseline.,Approved PDR actions; model selection; training pipeline; software design; interfaces; target constraints; toolchain records.,"ML and Software Engineering with CM, Safety, PA, and V&V.","CDR baseline covering pipeline, interfaces, reproducibility, selected model, target feasibility, and remaining actions.","The design is traceable, reproducible, implementable on the target, and sufficiently mature for test-readiness preparation.",CDR.,Designated CDR authority.,CM-02; ML-01 to ML-04; SV-01; DP-01 to DP-03.,Unresolved design or target constraints are entered as controlled actions and reflected in test scope.
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",FR-04,E40 5.3.5.1 + AMLAS-P5; AI-specific readiness content adapted. Status: M before applicable verification execution.,"Establish test readiness for model, software, system, and independent-assessment activities.",Frozen test object; independent data; procedures; acceptance criteria; tools; environments; anomaly process; IMVV plan.,V&V lead with QA/CM; IMVV lead for the independent scope.,"TRR data pack, readiness checklist, configuration list, approved procedures, criteria, and open-risk disposition.",Test objects and environments are identified and controlled; criteria are predeclared; independence and anomaly handling are adequate.,TRR.,Designated TRR authority.,MV-01 to MV-07; SV-01; SY-01; IV-03 to IV-05.,"Any readiness exception is formally limited, owned, and either resolved before execution or explicitly accepted by authority."
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",FR-05,E40 5.3.4.4 (QR); a separate VVR is a project-defined mapping option. Status: M at QR.,"Assess qualification/V&V evidence, anomalies, limitations, waivers, and IMVV findings.",Requirement-level results; coverage analyses; target evidence; NCRs; waivers; residual-risk record; IMVV report.,"V&V and PA with Safety, Engineering, and IMVV participation.","QR or project-defined VVR data pack, pass/fail matrix, finding dispositions, limitations, and recommendation.",Every applicable requirement and assurance claim has a controlled result or approved disposition; unresolved blockers are visible.,QR; project-defined VVR only when included in the review plan.,Designated QR/VVR authority.,MV-01 to SY-01; DP-01 to DP-03; SA-02 to SA-03; IV-05 to IV-06.,"Open findings, unsupported claims, waivers, and operational restrictions remain attached to the release decision."
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",FR-06,E40 5.3.4.5 and 5.7; AI release content adapted; ORR is project-defined. Status: M at AR.,"Accept one controlled release together with its ODD, operating limitations, rollback, and change controls.",Qualified configuration; release manifest; approved limitations; operating procedures; rollback; maintenance/change plan; residual risk.,"Project/customer acceptance authority supported by PA, CM, Operations, Safety, and Engineering.","AR/ORR record identifying the accepted release, ODD, restrictions, residual risks, waivers, and operating/change conditions.","The accepted configuration is uniquely identified and all conditions of use, rollback provisions, and residual-risk decisions are authorised.",AR; project-defined ORR when applicable.,Project/customer acceptance authority.,CM-02 to CM-03; DP-04 to DP-08; SA-03; IV-06.,Acceptance is limited to the stated configuration and ODD; changes or anomalies reopen affected evidence.
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",CM-01,Q80 6.2.4 + AMLAS-P3; AI artefact scope adapted. Status: M all.,"Configuration-control datasets, labels, partitions, and transformations.",Data specification; source and custody records; transformation pipeline; split rules; access history.,Configuration Management (CM) and QA with the Data owner.,"Immutable identifiers/hashes, lineage, approved baselines, access history, and links to consuming models.","Every data artefact used for evidence or release can be uniquely identified, reproduced, and traced to its approved use.",PDR onward; checked at TRR/QR/AR.,Relevant gate authority accepts the baseline.,DM-01 to DM-09; ML-01; MV-02; TR-01.,"Unavailable source records, mutable data, or uncharacterised transformations are recorded as evidence limitations."
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",CM-02,Q80 6.2.4 + AMLAS-P4 to P6; adapted. Status: M all.,"Configuration-control code, parameters, weights, tools, converters, monitors, and target binaries.",Source repositories; training/build scripts; parameters; model weights; toolchain; converter/compiler settings; monitor configuration.,"CM and Engineering, with QA oversight.","Reproducible training/build/release manifest, identifiers and checksums, environment record, and tool confidence rationale where applicable.","The reviewed model, software, and target binary can be reconstructed or otherwise shown equivalent from controlled inputs and tools.","CDR, QR, and AR.",Relevant review/acceptance authority.,ML-01; SV-01; DP-01 to DP-04; TR-01.,Non-reproducible or supplier-controlled elements are documented with compensating evidence and confidence limits.
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",CM-03,E40 5.10 + Q80 6.2.4; ML change triggers adapted. Status: M for material changes.,Perform change-impact analysis and reopen affected evidence.,"Change request; affected requirements, data, model, software, tools, target, monitoring, findings, and claims.","Change Control Board (CCB) with CM, Engineering, V&V, Safety, and PA.","Approved impact analysis, regression/re-review scope, updated traceability, and release decision.",All affected artefacts and claims are identified; regression and review depth are justified before the changed baseline is accepted.,CCB and any affected lifecycle gate.,CCB/project authority.,TR-01; DP-06; DP-08; SA-02 to SA-03; IV-06.,"Deferred regression, inherited evidence, and unchanged-item assumptions are explicit and authorised."
